tau		country	trait	method	experiment 
-0.597  	 Denmark	1	1	1  
0.594  	 Denmark	1	1	1  
0.793  	 Denmark	1	1	1  
1.398  	 Denmark	1	1	1  
-1.841  	 Denmark	2	1	1  
-0.918  	 Denmark	2	1	1  
-0.725  	 Denmark	2	1	1  
0.326  	 Denmark	2	1	1  
-1.555  	 Denmark	3	1	1  
-0.661  	 Denmark	3	1	1  
-0.414  	 Denmark	3	1	1  
0.519  	 Denmark	3	1	1  
		                                   
-1.362  	 Denmark 	1	2	1  
0.042  	 Denmark 	1	2	1  
0.584  	 Denmark 	1	2	1  
1.770  	 Denmark 	1	2	1  
-2.299  	 Denmark 	2	2	1  
-0.916  	 Denmark 	2	2	1  
-0.378  	 Denmark 	2	2	1  
1.223  	 Denmark 	2	2	1  
-1.911  	 Denmark 	3	2	1  
-0.713  	 Denmark 	3	2	1  
-0.262  	 Denmark 	3	2	1  
1.449  	 Denmark 	3	2	1  
		                                   
-0.759 	Estonia	1	1	1          
0.755 	Estonia	1	1	1          
1.159 	Estonia	1	1	1          
1.778 	Estonia	1	1	1          
-1.790 	Estonia	2	1	1          
-1.077 	Estonia	2	1	1          
-0.671 	Estonia	2	1	1          
0.317 	Estonia	2	1	1          
-1.632 	Estonia	3	1	1          
-0.803 	Estonia	3	1	1          
-0.460 	Estonia	3	1	1          
0.576	Estonia	3	1	1          
 	                                   
-1.408 	Estonia 	1	2	1          
0.043 	Estonia 	1	2	1          
0.604 	Estonia 	1	2	1          
1.830 	Estonia 	1	2	1          
-2.164 	Estonia 	2	2	1          
-0.862 	Estonia 	2	2	1          
-0.356 	Estonia 	2	2	1          
1.151 	Estonia 	2	2	1          
-1.880 	Estonia 	3	2	1          
-0.701 	Estonia 	3	2	1          
-0.257 	Estonia 	3	2	1          
1.426 	Estonia 	3	2	1          
