  1 1 1      10.000      6.648      1.300
  1 1 2       3.000      3.489     -0.262
  1 1 3       2.000      1.738      0.199
  1 1 4       3.000      3.309     -0.170
  1 1 5       4.000      4.536     -0.252
  1 1 6       0.000      0.428     -0.654
  1 2 1      44.000     47.926     -0.567
  1 2 2     102.000     93.191      0.913
  1 2 3      42.000     33.500      1.469
  1 2 4      58.000     70.115     -1.447
  1 2 5      19.000     17.397      0.384
  1 2 6      13.000     10.967      0.614
  1 3 1      13.000     13.189     -0.052
  1 3 2      62.000     64.749     -0.342
  1 3 3      46.000     55.670     -1.296
  1 3 4      55.000     53.847      0.157
  1 3 5      11.000     11.561     -0.165
  1 3 6       9.000      8.162      0.293
  1 4 1      15.000     15.851     -0.214
  1 4 2      55.000     58.493     -0.457
  1 4 3      32.000     29.431      0.473
  1 4 4     220.000    217.664      0.158
  1 4 5      72.000     67.684      0.525
  1 4 6       8.000      6.981      0.386
  1 5 1       4.000      6.475     -0.973
  1 5 2       5.000      2.959      1.186
  1 5 3       2.000      1.171      0.766
  1 5 4       4.000      5.562     -0.662
  1 5 5      16.000     14.998      0.259
  1 5 6       0.000      0.262     -0.512
  1 6 1       1.000      2.871     -1.104
  1 6 2       5.000      4.193      0.394
  1 6 3       0.000      0.771     -0.878
  1 6 4       3.000      2.059      0.656
  1 6 5       0.000      0.742     -0.861
  1 6 6       9.000      8.411      0.203
  2 1 1      12.000     10.122      0.590
  2 1 2       6.000      4.734      0.582
  2 1 3       3.000      2.153      0.577
  2 1 4       4.000      4.873     -0.395
  2 1 5       7.000      6.946      0.020
  2 1 6       1.000      0.637      0.455
  2 2 1      31.000     27.784      0.610
  2 2 2      57.000     59.996     -0.387
  2 2 3      31.000     37.821     -1.109
  2 2 4      45.000     44.176      0.124
  2 2 5       6.000     10.840     -1.470
  2 2 6       6.000      7.027     -0.388
  2 3 1       7.000      8.698     -0.576
  2 3 2      51.000     52.036     -0.144
  2 3 3      75.000     66.440      1.050
  2 3 4      41.000     40.396      0.095
  2 3 5       6.000      8.022     -0.714
  2 3 6      11.000     12.750     -0.490
  2 4 1      18.000     16.933      0.259
  2 4 2      47.000     38.728      1.329
  2 4 3      21.000     24.406     -0.689
  2 4 4     130.000    125.820      0.373
  2 4 5      41.000     43.125     -0.324
  2 4 6       6.000      5.616      0.162
  2 5 1       9.000      9.872     -0.278
  2 5 2       3.000      4.197     -0.584
  2 5 3       1.000      1.428     -0.358
  2 5 4      11.000     12.582     -0.446
  2 5 5      42.000     40.779      0.191
  2 5 6       0.000      0.090     -0.299
  2 6 1       1.000      1.554     -0.445
  2 6 2       4.000      4.076     -0.038
  2 6 3       5.000      3.243      0.976
  2 6 4       7.000      7.359     -0.132
  2 6 5       5.000      3.120      1.064
  2 6 6      31.000     33.618     -0.451
  3 1 1       5.000      9.736     -1.518
  3 1 2       2.000      3.345     -0.735
  3 1 3       0.000      0.908     -0.953
  3 1 4       5.000      4.266      0.355
  3 1 5       8.000      6.652      0.523
  3 1 6       0.000      0.480     -0.693
  3 2 1      25.000     22.632      0.498
  3 2 2      31.000     37.715     -1.093
  3 2 3      17.000     17.744     -0.177
  3 2 4      53.000     40.526      1.959
  3 2 5      13.000     11.744      0.366
  3 2 6       3.000      4.897     -0.857
  3 3 1       9.000      7.335      0.615
  3 3 2      23.000     20.868      0.467
  3 3 3      31.000     29.186      0.336
  3 3 4      29.000     29.839     -0.154
  3 3 5      10.000      8.124      0.658
  3 3 6       7.000      5.128      0.826
  3 4 1      15.000     15.635     -0.161
  3 4 2      30.000     32.580     -0.452
  3 4 3      16.000     16.903     -0.220
  3 4 4     127.000    135.360     -0.719
  3 4 5      46.000     46.432     -0.063
  3 4 6       3.000      4.357     -0.650
  3 5 1      12.000      9.497      0.812
  3 5 2       3.000      3.151     -0.085
  3 5 3       0.000      0.605     -0.778
  3 5 4      12.000      8.784      1.085
  3 5 5      24.000     26.291     -0.447
  3 5 6       1.000      0.295      1.299
  3 6 1       3.000      1.240      1.581
  3 6 2       2.000      2.266     -0.177
  3 6 3       0.000      1.046     -1.023
  3 6 4       2.000      2.464     -0.296
  3 6 5       0.000      1.006     -1.003
  3 6 6      13.000     10.963      0.615
