analysis	experiment	country	trait	method	methodeffect
continuous	women	greece	1	1	0.15
continuous	women	greece	2	1	0.15
continuous	women	greece	3	1	0.15
continuous	women	greece	1	2	0.36
continuous	women	greece	2	2	0.44
continuous	women	greece	3	2	0.40
continuous	women	greece	1	3	1.13
continuous	women	greece	2	3	1.13
continuous	women	greece	3	3	1.13
continuous	women	slovenia	1	1	0.17
continuous	women	slovenia	2	1	0.24
continuous	women	slovenia	3	1	0.15
continuous	women	slovenia	1	2	0.46
continuous	women	slovenia	2	2	0.34
continuous	women	slovenia	3	2	0.38
continuous	women	slovenia	1	3	0.04
continuous	women	slovenia	2	3	0.04
continuous	women	slovenia	3	3	0.04
categorical	women	greece	1	1	0.49
categorical	women	greece	2	1	0.14
categorical	women	greece	3	1	0.32
categorical	women	greece	1	2	0.18
categorical	women	greece	2	2	0.23
categorical	women	greece	3	2	0.42
categorical	women	greece	1	3	NA
categorical	women	greece	2	3	NA
categorical	women	greece	3	3	NA
categorical	women	slovenia	1	1	0.33
categorical	women	slovenia	2	1	0.75
categorical	women	slovenia	3	1	0.19
categorical	women	slovenia	1	2	0.00
categorical	women	slovenia	2	2	0.39
categorical	women	slovenia	3	2	0.48
categorical	women	slovenia	1	3	NA
categorical	women	slovenia	2	3	NA
categorical	women	slovenia	3	3	NA

