topic	scale	position	cat_factor	q2	country	hilo	methfac
women	agree	positive	1.39	0.76	GR	hi	nonzero
women	agree	positive	1.89	0.58	GR	hi	nonzero
women	agree	positive	1.48	0.75	GR	hi	nonzero
women	agree	positive	0.78	0.56	SI	lo	nonzero
women	agree	positive	0.86	0.19	SI	lo	nonzero
women	agree	positive	1.05	0.67	SI	lo	nonzero
job	truefalse	positive	0.96	0.88	BE	hi	nonzero
job	truefalse	positive	1.52	0.88	BE	hi	nonzero
job	truefalse	positive	1.39	0.92	BE	hi	nonzero
job	truefalse	positive	1.22	0.61	SI	lo	nonzero
job	truefalse	positive	0.72	0.21	SI	lo	nonzero
job	truefalse	positive	0.82	0.55	SI	lo	nonzero
doctors	direct	negative	0.41	0.050	DK	lo	zero
doctors	direct	positive	0.89	0.740	DK	lo	zero
doctors	direct	positive	0.94	0.770	DK	lo	zero
doctors	direct	negative	0.56	0.420	EE	hi	zero
doctors	direct	positive	1.07	0.850	EE	hi	zero
doctors	direct	positive	1.10	0.830	EE	hi	zero
efficacy	direct	positive	0.79	0.490	CH	lo	zero
efficacy	direct	positive	0.86	0.810	CH	lo	zero
efficacy	direct	positive	0.81	0.504	CH	lo	zero
efficacy	direct	positive	1.23	0.774	DK	hi	zero
efficacy	direct	positive	1.18	0.828	DK	hi	zero
efficacy	direct	positive	1.25	0.792	DK	hi	zero
women	agree	negative	0.58	0.47	GR	hi	nonzero
women	agree	negative	0.51	0.4	GR	hi	nonzero
women	agree	negative	0.62	0.35	GR	hi	nonzero
women	agree	negative	1.27	0.1	SI	lo	nonzero
women	agree	negative	0.67	0.46	SI	lo	nonzero
women	agree	negative	0.55	0.14	SI	lo	nonzero
women	agree	positive	0.95	0.57	CH	NA	zero
women	agree	positive	1.33	0.32	CH	NA	zero
women	agree	positive	1.13	0.62	CH	NA	zero
women	agree	negative	0.72	0.25	CH	NA	nonzero
women	agree	negative	0.67	0.73	CH	NA	nonzero
women	agree	negative	0.94	0.53	CH	NA	nonzero
women	agree	positive	2.53	0.52	CZ	NA	zero
women	agree	positive	1.07	0.32	CZ	NA	zero
women	agree	positive	1.20	0.67	CZ	NA	zero
women	agree	negative	0.50	0.07	CZ	NA	nonzero
women	agree	negative	0.87	0.42	CZ	NA	nonzero
women	agree	negative	0.77	0.16	CZ	NA	nonzero
doctors	agree	rarely	0.69	0.040	DK	lo	nonzero
doctors	agree	rarely	0.74	0.320	DK	lo	nonzero
doctors	agree	rarely	0.68	0.190	DK	lo	nonzero
doctors	agree	usually	0.80	0.620	DK	lo	nonzero
doctors	agree	usually	0.47	0.240	DK	lo	nonzero
doctors	agree	usually	0.66	0.380	DK	lo	nonzero
doctors	agree	rarely	1.20	0.140	EE	hi	nonzero
doctors	agree	rarely	0.78	0.200	EE	hi	nonzero
doctors	agree	rarely	0.70	0.210	EE	hi	nonzero
doctors	agree	usually	1.12	0.660	EE	hi	nonzero
doctors	agree	usually	0.81	0.480	EE	hi	nonzero
doctors	agree	usually	0.79	0.460	EE	hi	nonzero
job	direct	positive	0.84	0.49	BE	hi	nonzero
job	direct	positive	0.52	0.52	BE	hi	nonzero
job	direct	positive	0.52	0.52	BE	hi	nonzero
job	direct	positive	0.87	0.56	BE	hi	nonzero
job	direct	positive	0.57	0.56	BE	hi	nonzero
job	direct	positive	0.97	0.56	BE	hi	nonzero
job	direct	positive	0.83	0.69	SI	lo	zero
job	direct	positive	0.98	0.66	SI	lo	zero
job	direct	positive	0.75	0.74	SI	lo	zero
job	direct	positive	1.81	0.71	SI	lo	nonzero
job	direct	positive	1.05	0.74	SI	lo	nonzero
efficacy	agree	positive	1.16	0.656	CH	lo	zero
efficacy	agree	positive	1.09	0.792	CH	lo	zero
efficacy	agree	positive	0.87	0.672	CH	lo	zero
efficacy	agree	positive	0.84	0.490	CH	lo	zero
efficacy	agree	positive	1.19	0.810	CH	lo	zero
efficacy	agree	positive	0.78	0.504	CH	lo	zero
efficacy	agree	positive	0.77	0.543	DK	hi	nonzero
efficacy	agree	positive	0.67	0.540	DK	hi	nonzero
efficacy	agree	positive	0.72	0.530	DK	hi	nonzero
efficacy	agree	positive	1.08	0.828	DK	hi	zero
efficacy	agree	positive	0.84	0.689	DK	hi	zero
efficacy	agree	positive	0.81	0.624	DK	hi	zero
