CNTRY param       mi       p  p2        epc         stdXYEPC
  2  V5F5      79.097      .000      .000    -1.979    -3.373
  2  V2F4      74.659      .000      .000    -1.735    -3.827
  2  V2F5      66.391      .000      .000    -1.201    -2.184
  3  F5F2      55.481      .000      .000      .285     1.499
  2  V5F4      55.077      .000      .000    -1.725    -3.564
  3  V3F4      49.714      .000      .000     5.094    20.278
  3  V5F4      45.859      .000      .000    -6.589   -33.235
  3  V2F4      41.962      .000      .000    -8.000   -50.484
  3  F5F4      37.985      .000      .000      .275     4.139
  3  V5F3      37.710      .000      .000     8.326     7.351
  3  V2F1      37.710      .000      .000     -.216     -.257
  3  V5F1      37.710      .000      .000     -.292     -.278
  3  V2F3      37.710      .000      .000     6.160     6.805
  3  F4F2      34.637      .000      .001      .314     2.902
  3  F4F3      27.202      .000      .012      .250     1.160
  3  V6F4      23.735      .000      .034     2.212    12.620
  3  V6F2      20.895      .000      .075      .872     1.733
  3  V3F2      20.895      .000      .075     1.654     2.295
  3  V6F1      20.895      .000      .075      .203      .218
  3  V3F1      20.895      .000      .075      .384      .289
  3  V5F5      19.629      .000      .105    -1.065    -3.050
  3  F4F1      19.357      .000      .112     -.130     -.653
  3  F5F3      18.810      .000      .129      .217      .574
  3  V1F4      16.864      .000      .206    -3.736   -18.148
  3  V3F5      15.615      .000      .271     1.085     2.452
  2  V1F4      13.861      .000      .384      .592     1.287
  4  V4F4      13.278      .000      .427     -.725    -1.759
  2  V6F5      11.981      .001      .529      .528      .717
  2  V6F4       9.166      .002      .760      .376      .620
  4  F5F2       8.348      .004      .820     -.220    -2.540
  2  V1F5       8.104      .004      .837      .213      .382
  4  F4F2       7.775      .005      .858     -.498    -2.428
  4  F5F3       7.495      .006      .875     -.158     -.736
  2  V4F5       7.324      .007      .885      .424      .516
  2  V3F4       6.984      .008      .903      .356      .594
  4  V4F3       6.656      .010      .919     -.218     -.190
  4  V4F2       6.656      .010      .919      .983     2.125
  4  V1F3       6.656      .010      .919     -.521     -.496
  4  V1F2       6.656      .010      .919     2.352     5.557
  3  V4F5       6.131      .013      .941      .595     1.530
  4  F4F3       5.340      .021      .967     -.171     -.336
  4  V5F4       4.945      .026      .976     1.243     2.387
  4  V3F5       4.594      .032      .983    -3.159   -12.667
  2  V3F5       4.554      .033      .984      .259      .356
  3  V6F5       4.110      .043      .990      .506     1.638
  4  V4F5       3.995      .046      .991    -3.990   -22.971
  4  F5F4       3.591      .058      .995     -.124    -1.609
  4  F4F1       3.477      .062      .996      .100      .339
  4  V6F4       3.413      .065      .996      .377      .832
  1  V2F5       3.210      .073      .997     -.588    -1.746
  4  V2F4       2.924      .087      .998     1.031     2.702
  1  F4F1       2.900      .089      .998      .057      .206
