param			mi	ecp		iets	stdXYEPC
 VARIE$1                  0.270    -0.010     -0.010       -0.010
 VARIE$2                  0.267     0.009      0.009        0.009
 VARIE$3                  0.276    -0.002     -0.002       -0.002
 SECUR$1                  2.345     0.019      0.019        0.019
 SECUR$2                  2.350    -0.028     -0.028       -0.028
 SECUR$3                  2.364     0.007      0.007        0.007
 HEALT$1                 15.231    -0.017     -0.017       -0.017
 HEALT$2                 15.239     0.071      0.071        0.071
 HEALT$3                 15.251    -0.041     -0.041       -0.041
 TEST19$1                 1.452    -0.054     -0.054       -0.054
 TEST19$2                 1.455     0.035      0.035        0.035
 TEST19$3                 1.468    -0.008     -0.008       -0.008
 TEST20$1                 0.557    -0.034     -0.034       -0.034
 TEST20$2                 0.558     0.021      0.021        0.021
 TEST20$3                 0.571    -0.006     -0.006       -0.006
 TEST21$1                 1.798     0.006      0.006        0.006
 TEST21$2                 1.816    -0.039     -0.039       -0.039
 TEST21$3                 1.809     0.085      0.085        0.085

 VARIE$1                  0.269     0.044      0.044        0.058
 VARIE$2                  0.269    -0.023     -0.023       -0.030
 VARIE$3                  0.268     0.073      0.073        0.097
 SECUR$1                  2.340    -0.108     -0.108       -0.168
 SECUR$2                  2.347     0.051      0.051        0.079
 SECUR$3                  2.366    -0.197     -0.197       -0.308
 HEALT$1                 15.263     0.484      0.484        0.657
 HEALT$2                 15.237    -0.141     -0.141       -0.191
 HEALT$3                 15.223     0.325      0.325        0.441
 TEST19$1                 1.448     0.155      0.155        0.239
 TEST19$2                 1.452    -0.084     -0.084       -0.130
 TEST19$3                 1.448     0.267      0.267        0.414
 TEST20$1                 0.561     0.092      0.092        0.137
 TEST20$2                 0.560    -0.055     -0.055       -0.082
 TEST20$3                 0.561     0.188      0.188        0.279
 TEST21$1                 1.800    -0.332     -0.332       -0.430
 TEST21$2                 1.818     0.120      0.120        0.155
 TEST21$3                 1.822    -0.213     -0.213       -0.275
